"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Qty","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable"
"giftwrap-single-sheet","Luxury Gift Wrap - Single Sheet","<p>140gsm satin-gloss paper. A3 sheet.</p>","ONJJEM","Gift Wrap","Gift;Wrap;Packaging","TRUE","Size","A3 Sheet","giftwrap-single-sheet","0","100","4.99","","TRUE","TRUE"
"giftwrap-full-roll","Luxury Gift Wrap - Full Roll","<p>Matching paper for multiple gifts. Full roll (A0).</p>","ONJJEM","Gift Wrap","Gift;Wrap;Packaging","TRUE","Size","Full Roll","giftwrap-full-roll","0","100","14.99","","TRUE","TRUE"
"duvet-organic-cotton","Photo Duvet Cover","<p>Your restored photo printed across the full face of a 100% organic cotton duvet cover. Crisp, breathable, machine washable at 40C. Zip fastening. Available in four standard UK sizes. Duvet cover only. 5-Year Print Guarantee.</p>","ONJJEM","Duvet Cover","Home;Bedroom;Sleep","TRUE","Size","Single 140x198cm","duvet-organic-cotton","0","100","59","","TRUE","TRUE"
"duvet-organic-cotton","","","","","","","Size","Double 218x229cm","duvet-organic-cotton","0","100","59","","TRUE","TRUE"
"duvet-organic-cotton","","","","","","","Size","King","duvet-organic-cotton","0","100","59","","TRUE","TRUE"
"duvet-organic-cotton","","","","","","","Size","Super King","duvet-organic-cotton","0","100","59","","TRUE","TRUE"
"rug-bedside-90x63","Plush Bedside Rug","<p>Handcrafted in London from the finest plush velour available in the UK. Your AI-restored photo is reproduced in breathtaking colour beneath a surface so sumptuously thick it belongs in a five-star suite. Non-slip rubber base. 10-year print guarantee.</p>","ONJJEM","Rug","Home;Bedroom;Luxury","TRUE","Size","90x63 cm","rug-bedside-90x63","0","100","99","","TRUE","TRUE"
"duvet-pure-silk","Pure Silk Duvet Cover","<p>The ultimate bedroom luxury. Hand-sewn in London from natural silk satin - gentle on skin and naturally temperature-regulating. Your restored photo reproduced in breathtaking clarity across the full face. 10-Year Master Guarantee.</p>","ONJJEM","Duvet Cover","Home;Bedroom;Premium","TRUE","Size","Single","duvet-pure-silk","0","100","129","","TRUE","TRUE"
"duvet-pure-silk","","","","","","","Size","Double","duvet-pure-silk","0","100","129","","TRUE","TRUE"
"duvet-pure-silk","","","","","","","Size","King","duvet-pure-silk","0","100","129","","TRUE","TRUE"
"duvet-pure-silk","","","","","","","Size","Super King","duvet-pure-silk","0","100","129","","TRUE","TRUE"
"duvet-single-140x198","Photo Duvet Cover - Single","<p>Your restored photo printed across the full face of a single duvet cover in 100% organic cotton. Breathable, machine washable at 40C, zip fastening. Duvet cover only - insert not included.</p>","ONJJEM","Duvet Cover","Home;Bedroom;Organic","TRUE","Size","Single 140x198 cm","duvet-single-140x198","0","100","135","","TRUE","TRUE"
"duvet-double-218x229","Photo Duvet Cover - Double","<p>Your restored photo printed across the full face of a double duvet cover in 100% organic cotton. Breathable, machine washable at 40C, zip fastening. Duvet cover only - insert not included.</p>","ONJJEM","Duvet Cover","Home;Bedroom;Organic","TRUE","Size","Double 218x229 cm","duvet-double-218x229","0","100","165","","TRUE","TRUE"
